標的代號,標的名稱,產業
IRM,鐵山公司,房地產
ISRG,直覺外科公司,醫療保健
IT,高德納公司,資訊科技
ITA,iShares美國航太及國防ETF,
ITB,iShares安碩美國房屋營建ETF,
ITW,伊利諾工具公司,工業
IUSG,iShares安碩核心標普美國成長型E,
IUSV,iShares安碩核心標普美國價值ETF,
IVE,iShares安碩標普500價值型ETF,
IVOO,領航標普中型股400 ETF,
IVW,iShares安碩標普500成長型ETF,
IVZ,景順有限公司,金融服務
IWC,iShares超小型股ETF,
IWD,iShares羅素1000價值型ETF,
IWF,iShares羅素1000成長型ETF,
IWM,iShares安碩羅素2000交易所交易,
IXN,iShares安碩全球科技ETF,
IYC,iShares安碩美國消費者非必需品,
IYF,iShares安碩美國金融ETF,
IYK,iShares安碩美國消費必需品交易,
IYR,iShares安碩美國不動產ETF,
IYT,iShares安碩運輸平均交易所交易,
IYW,iShares安碩美國科技ETF,
IYZ,iShares美國電信ETF,
IZRL,ARK Israel Innovative Technolo,
J,雅各布解決方案公司,工業
JBHT,JB Hunt Transport Services Inc,工業
JBL,捷普公司,資訊科技
JBLU,捷藍航空公司,工業
JCI,江森自控國際公司,工業
JD,京東集團股份有限公司,非必需消費品
JEF,傑富瑞金融集團公司,金融服務
JEPI,JPMorgan Equity Premium Income,
JEPQ,JPMorgan Nasdaq Equity Premium,
JG,極光移動有限公司,資訊科技
JKHY,Jack Henry & Associates公司,金融服務
JNJ,嬌生公司,醫療保健
JNPR,瞻博網路,資訊科技
JOBY,喬比航空公司,工業
JOUT,強生戶外公司,非必需消費品
JPM,摩根大通銀行,金融服務
JWN,諾德斯特龍公司,非必需消費品
K,家樂氏,必需消費品
KBE,SPDR標普銀行ETF,
KBR,KBR公司,工業
KC,金山雲控股有限公司,資訊科技
KD,Kyndryl Holdings Inc,資訊科技
KEY,科凱國際集團,金融服務
KEYS,是德科技公司,資訊科技
KG,客適卓集團有限公司,金融服務
KHC,卡夫亨氏公司,必需消費品
KIE,思柏達標普保險ETF,
KIM,KRC臨時公司,房地產
KLAC,科磊公司,資訊科技
KLG,WK家樂氏公司,必需消費品
KMB,金百利克拉克,必需消費品
KMI,金德摩根公司(德拉瓦州),能源
KMX,車美仕公司,非必需消費品
KO,可口可樂公司,必需消費品
KODK,伊士曼柯達,資訊科技
KOLD,ProShares超短期彭博天然氣,
KR,克羅格公司,必需消費品
KRE,SPDR標普地區性銀行ETF,
KSS,柯爾公司,非必需消費品
KSU,堪薩斯市南方公司,工業
KULR,KULR Technology Group Inc,工業
KVUE,Kenvue公司,必需消費品
L,洛斯公司,金融服務
LABD,Direxion每日三倍放空標普生技類,
LABU,Direxion每日三倍做多標普生技ET,
LAND,格萊斯頓土地公司,房地產
LAZR,Luminar科技公司,非必需消費品
LB,Landbridge Co LLC,房地產
LCID,Lucid集團公司,非必需消費品
LCTX,譜系細胞治療公司,醫療保健
LDOS,雷多斯控股公司,工業
LEG,Leggett & Platt Inc,非必需消費品
LEH,雷曼兄弟控股公司,
LEN,萊納房屋公司,非必需消費品
LH,徠博科控股公司,醫療保健
LHX,L3哈里斯科技公司,工業
LI,理想汽車,非必需消費品
LIN,林德公開有限公司,原材料
LIT,全球X鋰電池技術ETF,
LITE,魯門特姆控股公司,資訊科技
LKQ,LKQ公司,非必需消費品
LLL,金鉉品旅（海南）數字科技有限公,非必需消費品
LLY,禮來公司,醫療保健
LM,美盛公司,金融服務
LMND,Lemonade公司,金融服務
LMT,洛克希德馬丁,工業
LNC,林肯全國保險,金融服務
LNT,聯合能源公司,公用事業
LOW,羅威公司,非必需消費品
LQD,iSharesiBoxx$投資級公司債ETF,
LQDT,流動性服務公司,工業
LRCX,科林研發股份有限公司,資訊科技
LU,陸金所控股有限公司,金融服務
LULU,露露檸檬公司,非必需消費品
LUMN,流明科技公司,通訊服務
LUNR,直覺機器公司,工業
LUV,西南航空,工業
LVS,拉斯維加斯金沙集團,非必需消費品
LW,藍威斯頓控股公司,必需消費品
LYB,利安德巴塞爾工業公司,原材料
LYFT,來福車公司,工業
LYLT,Loyalty Ventures Inc,通訊服務
LYLTQ,Loyalty Ventures Inc,通訊服務
LYV,理想國演藝股份有限公司,通訊服務
M,梅西百貨公司,非必需消費品
MA,萬事達卡,金融服務
MAA,Mid-America Apartment Communit,房地產
MAC,馬賽里奇房產公司,房地產
MAR,萬豪國際集團(馬里蘭),非必需消費品
MARA,瑪拉控股公司,資訊科技
MAS,馬斯可,工業
MAT,美泰兒公司,非必需消費品
MAXN,Maxeon Solar Technologies Ltd,資訊科技
MBLY,Mobileye全球公司,非必需消費品
MCD,麥當勞公司,非必需消費品
MCHI,iShares安碩MSCI中國ETF,
MCHP,超捷國際股份有限公司,資訊科技
MCK,麥卡遜,醫療保健
MCO,穆迪,金融服務
MCRB,賽里斯醫療公司,醫療保健
MDB,MongoDB公司,資訊科技
MDLZ,億滋國際,必需消費品
MDT,美敦力公司,醫療保健
MELI,美卡多公司,非必需消費品
MER,美林公司,
MET,大都會人壽,金融服務
META,Meta平台公司,通訊服務
METPE,Voice One Corp,
MGA,麥格納國際公司,非必需消費品
MGC,領航巨型股ETF,
MGK,領航巨型股成長型ETF,
MGM,美高梅度假村國際,非必需消費品
MGNI,盧比孔專案公司,通訊服務
